Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,RT-CSR,Request a change to a Report,IT Support Desk,
Enterprise Applications,RT-CSR,Request a new Report,IT Support Desk,
Enterprise Applications,Penguin Data TQA,Enhancement Request,IT Support Desk,
Enterprise Applications,Penguin Data TQA,Request a new Report,IT Support Desk,
Enterprise Applications,Parallels,Request a new Report,IT Support Desk,
Enterprise Applications,VIP Access,Issue with App Client Software,IT Support Desk,
Enterprise Applications,VIP Access,Report an Application Issue,IT Support Desk,
Enterprise Applications,VIP Access,Request a change to a Report,IT Support Desk,
Enterprise Applications,VIP Access,Request a new Report,IT Support Desk,
Enterprise Applications,Visier,Request a new Report,IT Support Desk,
Enterprise Applications,VISTAPLUS,Enhancement Request,IT Support Desk,
Enterprise Applications,VISTAPLUS,Request a new Report,IT Support Desk,
Internal Communication Management,Collaboration tools,Issue with Collaboration tools,IT Support Desk,
Enterprise Applications,UNIFIED INVENTORY MANAGEMENT (UIM/SDP),Enhancement Request,IT Support Desk,
Enterprise Applications,UNIFIED INVENTORY MANAGEMENT (UIM/SDP),Issue with a Report,IT Support Desk,
Enterprise Applications,UNCLAIMED PROPERTY (UPCS),Enhancement Request,IT Support Desk,
Enterprise Applications,UNITEE (BHN),Enhancement Request,IT Support Desk,
Enterprise Applications,UNITEE (BHN),Issue with a Report,IT Support Desk,
Enterprise Applications,UNITEE (BHN),Issue with App Client Software,IT Support Desk,
Enterprise Applications,VCAT,Enhancement Request,IT Support Desk,
Enterprise Applications,VCAT,Issue with a Report,IT Support Desk,
Enterprise Applications,VCAT,Issue with App Client Software,IT Support Desk,
Enterprise Applications,VCAT,Report an Application Issue,IT Support Desk,
Enterprise Applications,VCAT,Request a change to a Report,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Enhancement Request,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Issue with a Report,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Issue with App Client Software,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Report an Application Issue,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Request a change to a Report,IT Support Desk,
Enterprise Applications,VENAFI ENCRYPTION DIRECTOR,Request a new Report,IT Support Desk,
Enterprise Applications,VERTEX,Issue with a Report,IT Support Desk,
Enterprise Applications,VERTEX,Issue with App Client Software,IT Support Desk,
Enterprise Applications,VERTEX,Report an Application Issue,IT Support Desk,
Enterprise Applications,VERTEX,Request a change to a Report,IT Support Desk,
Enterprise Applications,VERTEX,Request a new Report,IT Support Desk,
IT Support Desk,Service Request,Submit a Service Request,IT Support Desk,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Enhancement Request,IT Support Desk,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Issue with a Report,IT Support Desk,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Issue with App Client Software,IT Support Desk,
Enterprise Applications,VOICEZONE RESIDENTIAL PHONE PORTAL (DPFM),Report an Application Issue,IT Support Desk,
Enterprise Applications,VOICEMANAGER,Enhancement Request,IT Support Desk,
Enterprise Applications,VOICEMANAGER,Issue with a Report,IT Support Desk,
Enterprise Applications,VOICEMANAGER,Issue with App Client Software,IT Support Desk,
Enterprise Applications,VISUAL PARADIGM,Enhancement Request,IT Support Desk,
Enterprise Applications,VISUAL PARADIGM,Issue with a Report,IT Support Desk,
Business Services,Retail Store Support,WebText request,IT Support Desk,
IT Network Services,IT Network Services,Individual VPN Access,IT Support Desk,
Data Center Services,Server,Issue with Server,IT Support Desk,
IT Network Services,Remote Worker,Difficulty Connecting Remotely Via WiFi,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Connection Issue,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect How To Use,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Latency,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Not Installed,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Permissions Issue,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Vendor Group Not Created,IT Support Desk,
IT Network Services,Remote Worker,GlobalProtect Version Issue,IT Support Desk,
Enterprise Applications,McAfee ePO,Enhancement Request,IT Support Desk,
Enterprise Applications,McAfee ePO,Issue with a Report,IT Support Desk,
Enterprise Applications,MBCRPP,Enhancement Request,IT Support Desk,
Enterprise Applications,MBCRPP,Request a new Report,IT Support Desk,
Enterprise Applications,ISTONISH / TPV,Request a new Report,IT Support Desk,
Enterprise Applications,LMS,Request a change to a Report,IT Support Desk,
Enterprise Applications,LMS,Request a new Report,IT Support Desk,
Enterprise Applications,MEDEA,Enhancement Request,IT Support Desk,
Enterprise Applications,MEDEA,Issue with a Report,IT Support Desk,
Enterprise Applications,MEDEA,Issue with App Client Software,IT Support Desk,
Enterprise Applications,NESTOR,Enhancement Request,IT Support Desk,
Enterprise Applications,NESTOR,Issue with a Report,IT Support Desk,
Enterprise Applications,NESTOR,Issue with App Client Software,IT Support Desk,
Enterprise Applications,NESTOR,Report an Application Issue,IT Support Desk,
Enterprise Applications,NESTOR,Request a change to a Report,IT Support Desk,
Enterprise Applications,NESTOR,Request a new Report,IT Support Desk,
Enterprise Applications,NEXTGEN DATA WAREHOUSE (XDW),Enhancement Request,IT Support Desk,
Enterprise Applications,NEXTGEN DATA WAREHOUSE (XDW),Issue with a Report,IT Support Desk,
Enterprise Applications,MESSAGING PLATFORM (ASAPP),Enhancement Request,IT Support Desk,
Enterprise Applications,NetIQ ESSO,Request a change to a Report,IT Support Desk,
Enterprise Applications,NetIQ ESSO,Request a new Report,IT Support Desk,
Enterprise Applications,NESTOR BUDGET,Issue with App Client Software,IT Support Desk,
Enterprise Applications,NESTOR BUDGET,Report an Application Issue,IT Support Desk,
Enterprise Applications,NESTOR BUDGET,Request a change to a Report,IT Support Desk,
Enterprise Applications,NESTOR BUDGET,Request a new Report,IT Support Desk,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Access Request,IT Support Desk,
Enterprise Applications,OIC,Enhancement Request,IT Support Desk,
Enterprise Applications,OIC,Issue with a Report,IT Support Desk,
