Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,Unified Case Management (UCM),Issue with a Report,IT-Portals,
Enterprise Applications,Unified Case Management (UCM),Issue with App Client Software,IT-Portals,
Enterprise Applications,Unified Case Management (UCM),Report an Application Issue,IT-Portals,
Data Management,ITDM Data Integration,DES,ITDM Data Integration,
Data Center Services,HI - Data Center Operations,Hawaii Data Center Services,ITSS - Hawaii Server,
Desktop Management,ITSS Inventory,ITSS Inventory Request,ITSS - Inventory,
Desktop Management,ITSS Inventory,Issue with ITSS Inventory,ITSS - Inventory,
Enterprise Applications,Cherwell,Update Knowledge Article,Knowledge Management,
Enterprise Applications,Learning Technology,Media Center Request,Learning Technology,
Enterprise Applications,LEASEACCELERATOR,Access Request,Lease Accelerator,
Enterprise Applications,LEASEACCELERATOR,Unexpected Change to Access,Lease Accelerator,
People Management,Onboarding/Offboarding,Information Search Request - Legal/Human Resources/NLE,Legal Review Group,
Enterprise Applications,GOTOASSIST - LOGMEIN (GTA),Request App Client Software,Managed Application Support,
Enterprise Applications,QMATIC,New Store,Managed Application Support,
Enterprise Applications,Marketing Applications (DBM),DBM Reports Access Request,Marketing Database Support,
Enterprise Applications,FileShareNCE,Access Request,Marketing Database Support,
Enterprise Applications,UNICA,Access Request,Marketing Database Support,
Enterprise Applications,Marketing Applications (DBM),DBM UNICA Access Request,Marketing Database Support,
Enterprise Applications,Marketing Applications (DBM),DBM FileShareNCE Access Request,Marketing Database Support,
Enterprise Applications,Marketing Applications (DBM),DBM MDB Access Request,Marketing Database Support,
Enterprise Applications,Marketing Applications (DBM),DBM Portal Access Request,Marketing Database Support,
Enterprise Applications,Marketing Applications (DBM),DBM JIRA Access Request,Marketing Database Support,
Data Management,Data Delivery Platform Support,EDC/AXON,MDM Infrastructure,
Data Management,Data Delivery Platform Support,MDM,MDM Infrastructure,
Mobile Device Management,"Config, Feature, Chg & AddOns",Features / Changes / Add-Ons,Mobility RSC Management,
Mobile Device Management,"Config, Feature, Chg & AddOns",Wireless Configuration Change,Mobility RSC Management,
People Management,Account Management,MVNO Application Access Request,MVNO Operations,
Spectrum Mobile,Bluegrass Cellular Port Issue,Cellular Porting Issue,MVNO Operations,
Business Services,SAP Material Master,Spare Part,Network Engineering,
Business Services,SAP Material Master,Reclaim Item,Network Engineering,
Business Services,SAP Material Master,New Item,Network Engineering,
Data Center Services,EDC Internal Requests,Chargeback Request,New Blue Chargebacks,
Process Management,Misc. Process Management,Request Assistance,New Blue Concierge,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Report an Application Issue,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Request a change to a Report,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Request a new Report,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Request App Client Software,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Enhancement Request,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Issue with a Report,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Issue with App Client Software,NodeMS Administration,
Enterprise Applications,NODE MANAGEMENT SYSTEM,Unexpected Change to Access,NodeMS Administration,
Enterprise Applications,OSvC ? Ticketing SMB,Enhancement Request,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Issue with a Report,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Issue with App Client Software,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Report an Application Issue,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Request a Change to a Report,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Request a New Report,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Request App Client Software,Oracle Service Cloud Ticketing,
Enterprise Applications,OSvC ? Ticketing SMB,Unexpected Change to Access,Oracle Service Cloud Ticketing,
Enterprise Applications,SCOPE,Outage Management Request,Outage Management,
Enterprise Applications,PeopleSoft HR,Report a Payroll Issue,Payroll Processing & Support,
Enterprise Applications,Kronos Special Access,Access Request,Payroll Technology,
Enterprise Applications,PLACEMENT DATA APPLICATION SYSTEM (PDAS),Report an Application Issue,PDAS Support,
Enterprise Applications,PLACEMENT DATA APPLICATION SYSTEM (PDAS),Access Request,PDAS Support,
Data Center Services,App Performance Testing,Application Performance Testing,Performance Testing,
Process Management,IT Application Catalog,Decommission of an Application Definition,PMDB Admins,
Process Management,IT Application Catalog,Application Catalog Change,PMDB Admins,
Enterprise Applications,PRISM Application,Report an Application Issue,PRISM Configuration,
Enterprise Applications,Quality Central,Report Issue,Quality Central Support,
Business Services,Retail Store Support,Reality Interactive,Reality Interactive,
Enterprise Applications,Regional Operations Center ROBOT (ROCBot),Report an Issue,ROCBOT Support,
Enterprise Applications,SAP BusinessObjects,Report an Issue with Business Objects,SAP Business Objects Support,
Enterprise Applications,SAP BusinessObjects,Support Request,SAP Business Objects Support,
Enterprise Applications,SAP BusinessObjects,Production Promotion Request,SAP Business Objects Support,
Desktop Management,Secure Data Access,Issue with Files,Secure Data Access,
Enterprise Applications,Secure Data Access,Issue with Files,Secure Data Access,
Enterprise Applications,Secure Data Access,New Group Shared Drive,Secure Data Access,
Enterprise Applications,Secure Data Access,New Personal Home Drive,Secure Data Access,
Data Center Services,VARONIS,Change Varonis Data Owner,Secure Data Access,
Data Center Services,VARONIS,RansomWare Note,Secure Data Access,
Data Center Services,Secure Data Access,Application - Access to Existing Share,Secure Data Access,
Data Center Services,Secure Data Access,Application - New Application SMB Share,Secure Data Access,
Data Center Services,Secure Data Access,VARONIS- Add/Modify Data or Group Owner,Secure Data Access,
Data Center Services,Secure Data Access,VARONIS- Add/Remove Folder,Secure Data Access,
Data Center Services,Secure Data Access,VARONIS- Entitlement Review,Secure Data Access,
Data Center Services,Secure Data Access,VARONIS- Application Errors,Secure Data Access,
Data Center Services,Secure Data Access,Issue with Files,Secure Data Access,
Data Center Services,Secure Data Access,Increase File Share Capacity,Secure Data Access,
Data Center Services,Secure Data Access,Desktop User - New Personal Home Drive,Secure Data Access,
Data Center Services,Secure Data Access,Desktop User - New Group Shared Drive,Secure Data Access,
Data Center Services,Secure Data Access,Desktop user - Access to Existing Share,Secure Data Access,
Data Center Services,VARONIS,Access Request,Secure Data Access,
Data Center Services,VARONIS,Enhancement Request,Secure Data Access,
Data Center Services,VARONIS,Issue with a Report,Secure Data Access,
Data Center Services,VARONIS,Issue with App Client Software,Secure Data Access,
Data Center Services,VARONIS,Report an Application Issue,Secure Data Access,
Enterprise Applications,Secure Data Access,Access to Existing Shared Drive,Secure Data Access,
Enterprise Applications,Secure Data Access,Increase File Share Capacity,Secure Data Access,
Data Center Services,VARONIS,Request a change to a Report,Secure Data Access,
Data Center Services,VARONIS,Request a new Report,Secure Data Access,
Data Center Services,VARONIS,Unexpected Change to Access,Secure Data Access,
Desktop Management,Secure Data Access,Access to Existing Shared Drive,Secure Data Access,
Desktop Management,Secure Data Access,New Group Shared Drive,Secure Data Access,
Desktop Management,Secure Data Access,New Personal Home Drive,Secure Data Access,
Desktop Management,Secure Data Access,Increase File Share Capacity,Secure Data Access,
Data Center Services,Secure Data Movement,New SFTP Account Request,Secure Data Movement,
Data Center Services,Secure Data Movement,SFTP Account Password Change,Secure Data Movement,
Data Center Services,Secure Data Movement,Submit Keys for SFTP Account,Secure Data Movement,
Data Center Services,Secure Data Movement,Other SFTP/HTTPS Requests,Secure Data Movement,
Data Center Services,Secure Data Movement,Move and Schedule SFTP Files,Secure Data Movement,
Data Center Services,Secure Data Movement,SFTP connectivity Issue,Secure Data Movement,
Data Center Services,Secure Data Movement,Issue with SFTP/HTTPS File Transfers,Secure Data Movement,
People Management,Account Management,SFTP Account Request,Secure Data Movement,
Internal Communication Management,Training Services,Skillset Training Request,Skillset Training Admin,
Internal Communication Management,Training Services,Skillset Training Question,Skillset Training Admin,
Internal Communication Management,Training Services,Issue with Skillset Training,Skillset Training Admin,
Desktop Software,Microsoft Office 365,Request New Software,Software Asset management,
Desktop Software,Microsoft Office 365,Software Transfer,Software Asset management,
Desktop Software,Bluebeam,Software Transfer,Software Asset management,
Desktop Software,Autocad,Software Transfer,Software Asset management,
Desktop Software,Bluebeam,Request New Software,Software Asset management,
Desktop Software,Autocad,Request New Software,Software Asset management,
Desktop Software,MobaXterm,Request New Software,Software Asset management,
Desktop Software,MobaXterm,Software Transfer,Software Asset management,
Desktop Software,Tableau Desktop,Request New Software,Software Asset management,
Desktop Software,Aquadata,Software Renewal,Software Asset management,
Desktop Software,IntelliJ IDEA Ultimate,Request New Software,Software Asset management,
Desktop Software,IntelliJ IDEA Ultimate,Software Transfer,Software Asset management,
Desktop Software,Docker Desktop,Request New Software,Software Asset management,
Desktop Software,Docker Desktop,Issue with Software,Software Asset management,
Desktop Software,Docker Desktop,Software Transfer,Software Asset management,
Desktop Software,Adobe Creative Cloud,Software Renewal,Software Asset management,
Desktop Software,Adobe Dreamweaver: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Flash Pro: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Illustrator,Software Renewal,Software Asset management,
Desktop Software,Adobe Premiere Pro: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe RoboHelp,Software Renewal,Software Asset management,
Desktop Software,Adobe Acrobat Standard: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Acrobat Pro: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Stock,Software Renewal,Software Asset management,
Desktop Software,Adobe Audition: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Captivate: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Illustrator: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe InCopy: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe InDesign: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Muse: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Photoshop: CC,Software Renewal,Software Asset management,
Desktop Software,Adobe Premier Pro,Software Renewal,Software Asset management,
Desktop Software,Adobe Animate,Software Renewal,Software Asset management,
Desktop Software,Adobe Acrobat Pro: CC,Software Transfer,Software Asset management,
Desktop Software,Lucid Spark,Software Transfer,Software Asset management,
Desktop Software,Aquadata Studio,Software Renewal,Software Asset management,
Desktop Software,Adobe After Effects: CC,Software Renewal,Software Asset management,
Desktop Software,Articulate,Software Renewal,Software Asset management,
Desktop Software,Lucid Chart,Request New Software,Software Asset management,
Desktop Software,Lucid Chart,Issue with Software,Software Asset management,
Desktop Software,Lucid Chart,Software Transfer,Software Asset management,
Desktop Software,Lucid Spark,Request New Software,Software Asset management,
Desktop Software,Lucid Spark,Issue with Software,Software Asset management,
Desktop Software,Adobe Acrobat Standard: CC,Request New Software,Software Asset management,
Desktop Software,Adobe Acrobat Standard: CC,Software Transfer,Software Asset management,
Desktop Software,Lucid Chart,Software Renewal,Software Asset management,
Desktop Software,Lucid Spark,Software Renewal,Software Asset management,
Desktop Software,Articulate,Request New Software,Software Asset management,
Desktop Software,Powtoon,Request New Software,Software Asset management,
Desktop Software,Powtoon,Software Transfer,Software Asset management,
Desktop Software,Powtoon,Software Renewal,Software Asset management,
Desktop Software,Postman,Request New Software,Software Asset management,
Desktop Software,Postman,Software Transfer,Software Asset management,
Desktop Software,Postman,Software Renewal,Software Asset management,
Desktop Software,Office Timeline,Request New Software,Software Asset management,
Desktop Software,Office Timeline,Software Transfer,Software Asset management,
Desktop Software,Sketch,Request New Software,Software Asset management,
Desktop Software,Sketch,Software Transfer,Software Asset management,
Desktop Software,*Software Services,New Desktop Unapproved Software Request,Software Asset management,
Desktop Software,Figma,Software Renewal,Software Asset management,
